img_urls,titles,ratings,authors,details
https://img1.doubanio.com/view/subject/m/public/s29835849.jpg,十二个明天,8.6,刘慈欣等著/[美]韦德·劳什编/北京联合出版公司/2018-8-1,刘慈欣、刘宇昆、尼迪·奥科拉弗等13位荣获过星云奖、雨果奖等奖项的科幻小说家的硬科幻小说集。收录刘慈欣新作《黄金原野》。
https://img1.doubanio.com/view/subject/m/public/s29819208.jpg,智利之夜,9.1,[智利]罗贝托·波拉尼奥/世纪文景/上海人民出版社/2018-8,发着高烧的主人公坚信自己即将死去，因而用一个晚上的时间回顾了自己的人生。可是事实上，随着夜晚的加深，他的烧渐渐退了……
https://img3.doubanio.com/view/subject/m/public/s29841866.jpg,有呀有呀书店,9.3,[日]吉竹伸介/中信出版社/2018-8-1,只要你向店长描述你的需求，他就会一边说着“有呀有呀”，一边把书拿到你的面前。这里有脑洞大开的想象力，温暖疗愈的轻哲理和一切有关书的奇妙物语。
https://img3.doubanio.com/view/subject/m/public/s29847045.jpg,时间不存在,10.0,韩松/[美]刘宇昆/罗伯特•西尔弗伯格/[加拿大]罗伯特·索耶/加里•韦斯特福尔/伊恩•沃森/[美]詹姆斯·冈恩/宝树/西奥多•赛德/加里•K•沃尔夫/克里斯多夫•普利斯特/滕野/万象峰年/糖匪/双翅目/慕明/任杰/任雅琪/保罗·琴凯德/戴维·兰福德/戴维·I·马森/加里·库巴/威廉·泰恩/周留/作家出版社/2018-8,科幻品牌“未来事务管理局”精心策划。作者群包括韩松、刘宇昆、罗伯特•索耶等22位作者，共曾获得10次雨果奖、7次星云奖、4次轨迹奖、2次世界奇幻奖等科幻大奖。
https://img3.doubanio.com/view/subject/m/public/s29852464.jpg,同情者,评价人数不足,[美]阮清越/上海译文出版社/2018-8,第100届普利策小说奖获奖作品。1975年，身为越共的主人公来到美国进行间谍工作，向北越汇报敌情。作为难民和间谍，身心经历了非同寻常的折磨和挣扎。
https://img3.doubanio.com/view/subject/m/public/s29816564.jpg,在中途换飞机的时候,9.2,[美]欧·亨利等/中信出版集团/2018-7,收录了《世界文学》杂志创刊65周年以来刊载的19篇以“爱”为主题的经典名作。作者多是享有世界级声誉的文学家，如霍桑、纪伯伦、欧亨利、皮兰德娄、布尔加科夫等。
https://img3.doubanio.com/view/subject/m/public/s29806771.jpg,耶稣撒冷,9.5,[莫桑比克]米亚·科托/中信出版集团/2018-8,莫桑比克内战结束后，希尔维斯特勒的妻子意外去世，他在极度悲痛中举家迁往野兽群居的偏远地方，取名“耶稣撒冷”，在那里等待上帝的道歉。
https://img1.doubanio.com/view/subject/m/public/s29831809.jpg,黄昏清兵卫,8.2,[日]藤泽周平/译林出版社/2018-8,藤泽周平最负盛名短篇集。八位另类剑客，其名不雅，其貌不扬，但身怀绝技，暗藏山水。名导山田洋次改编同名电影，斩获数十项大奖。
https://img3.doubanio.com/view/subject/m/public/s29828741.jpg,无理时代,8.9,[日]奥田英朗/南海出版公司/2018-8-1,一起重大交通事故改变了许多人的命运，一起看似巧合的车祸能终结一切吗？奥田英朗最新作品，一部带有悬疑和喜剧色彩的现实主义小说。
https://img3.doubanio.com/view/subject/m/public/s29798232.jpg,我忏悔,评价人数不足,[西]乔莫·卡夫雷/JaumeCabré/理想国丨广西师范大学出版社/2018-8,阿德里亚偷偷将价值连城的小提琴借给好友，却得到父亲意外身亡尸首分离的噩耗。随着时光流逝，真相渐渐从书房渗出，阿德里亚的故事也如长卷般展开。
https://img3.doubanio.com/view/subject/m/public/s29834496.jpg,无名指,7.8,李陀/中信出版集团/2018-8-10,杨博奇再次踏入这座城市，流浪般漫游在西单、景山、中关村e世界、世贸天阶、三里屯，像一位情报收集者探听观察着时人时事。
https://img1.doubanio.com/view/subject/m/public/s29842397.jpg,异类婚姻谭,评价人数不足,[日]本谷有希子/上海译文出版社/2018-8,由四篇短篇小说组成，其中《异类婚姻谭》为2016年芥川奖获奖作。小说探讨婚姻关系、社会关系带来的人的异化，以怪谈的形式来表现。
https://img1.doubanio.com/view/subject/m/public/s29857068.jpg,形婚记,8.7,毛冷瞪/鹭江出版社/2018-8,温喆原与刘宽是一对形婚夫妇，原本各有婚外恋人，却因为种种原因生了一个孩子。假婚姻中的真宝宝，把本来平静幸福的形婚生活搅和得一团糟。
https://img3.doubanio.com/view/subject/m/public/s29849376.jpg,姜饼人,评价人数不足,[爱尔兰]J.P.唐利维/上海译文出版社/2018-9,一个自相抵牾、灵魂无所归依的浪荡子，就如童话里逃出烤箱的姜饼小人，一路逃亡，最终还是落入狐狸之口……本书反映了战后一代青年迷惘与痛苦。
https://img3.doubanio.com/view/subject/m/public/s29850116.jpg,巴黎之吻,评价人数不足,[塞尔维亚]雅丝米娜·米哈伊洛维奇/浙江文艺出版社/2018-8,雅丝米娜以自己与作家丈夫米洛拉德•帕维奇的巴黎生活与旅行为原型创作的小说，讲述和作者同名的女主人公与丈夫M的一段为期四天的巴黎之旅。
https://img3.doubanio.com/view/subject/m/public/s29849322.jpg,七夏娃,评价人数不足,[美]尼尔·斯蒂芬森/中信出版集团/2018-9-1,月球忽然爆炸。为了生存，人类准备选择千余人发射到以国际空间站为基础的云方舟群中。本书是美国当代赛博朋克流硬科幻作家尼尔·斯蒂芬森的一部雄伟、壮观的杰作。
https://img3.doubanio.com/view/subject/m/public/s29787423.jpg,胡林的子女,,[英]J·R·R·托尔金/世纪文景|上海人民出版社/2018-8,《霍比特人》《魔戒》前传。托尔金生前不断修改，留下大量遗稿，最终由他的儿子克里斯托弗·托尔金整理成书。
https://img3.doubanio.com/view/subject/m/public/s29829005.jpg,碗,8.4,金宇澄/世纪文景|上海人民出版社/2018-8,一老友在聚会上追忆三十年前的岁月，引发了一场千里赴约的温故之旅。在历史的斑驳印记中，辨认早已碎裂消失的苍凉青春。
https://img1.doubanio.com/view/subject/m/public/s29819087.jpg,弗兰肯斯坦在巴格达,评价人数不足,[伊拉克]艾哈迈德·萨达维/中信出版集团/2018-8-1,冲突不断的巴格达，几乎每天都有袭击发生……作者套用玛丽•雪莱《弗兰肯斯坦》中的经典角色，讲述了一个发生在伊拉克的奇特故事。
https://img1.doubanio.com/view/subject/m/public/s29845837.jpg,银河边缘001：奇境,评价人数不足,杨枫/[美]迈克·雷斯尼克编/人民文学出版社/2018-8-1,内容大部分选自美国《银河边缘》杂志中最精华的部分。第一辑收录了刘宇昆、杰克·威廉森、罗伯特·西尔弗伯格、梁清散等中外科幻作家的作品。
https://img1.doubanio.com/view/subject/m/public/s29828367.jpg,老后破产,8.1,日本NHK特别节目录制组/上海译文出版社/2018-8-1,NHK特别节目录制组的采访过程全记录。有存款，有房子，有年金，为什么还会“老后破产”？这在日本是热门话题，进入老龄社会的中国，也避不开养老话题。
https://img3.doubanio.com/view/subject/m/public/s29809923.jpg,缮写室,8.7,包慧怡/华东师范大学出版社/2018-8,中世纪文学博士包慧怡的阅读笔记，记录影响其成长的作家和作品。包含对莎士比亚、刘易斯•卡罗尔、王尔德、“珍珠”诗人、安吉拉·卡特、米开朗琪罗的读解。
https://img1.doubanio.com/view/subject/m/public/s29850017.jpg,忧郁的解剖（增译本）,9.2,【英】罗伯特·伯顿/金城出版社/2018-8,罗伯特•伯顿实乃一个彻头彻尾的书痴，他成天活在书堆里，嗜书如命，并且还用大半辈子写了本将古往今来的所有书籍都熔于一炉的精粹之作——《忧郁的解剖》。
https://img1.doubanio.com/view/subject/m/public/s29848109.jpg,京都，流动的历史,评价人数不足,[日]小林丈广/[日]高木博志/[日]三枝晓子/社会科学文献出版社/2018-7-30,京都作为日本民族的精神原乡与文化象征，一直以来被人们赋予种种想象与寄托。本书全方位呈现一个不断变化的、丰富多义的，耐人寻味的京都。
https://img3.doubanio.com/view/subject/m/public/s29852656.jpg,椰壳碗外的人生,,[美]本尼迪克特·安德森/世纪文景|上海人民出版社/2018-8,享誉世界的学者本尼迪克特•安德森的回忆性著作。他的一生中不断跳出舒适区，挑战新领域，不做“椰壳碗下的青蛙”，读来振奋人心。
https://img3.doubanio.com/view/subject/m/public/s29822782.jpg,东京百年史,评价人数不足,[美]爱德华·赛登施蒂克/上海社会科学院出版社/2018-9,通过令人惊叹的细节、详实的史料以及敏锐洞察力，揭示了近代日本为何能在积极吸收西方文化，成为世界强国之后，仍能将古老的传统文化延续至今。
https://img1.doubanio.com/view/subject/m/public/s29832247.jpg,心灵革命,评价人数不足,[美]李海燕/北京大学出版社/2018-7,作者主要通过晚明至当代的一些重要文学作品，勾勒了爱情在中国文学叙述中的历史。曾获2009年美国亚洲研究学会的列文森奖。
https://img3.doubanio.com/view/subject/m/public/s29851335.jpg,阿尔比恩的种子,8.0,[美]大卫•哈克特•费舍尔/广西师范大学出版社/2018-7,对美国历史学经典问题的经典解答。以问题为导向，以叙事方式呈现早期美国史，详细讨论了什么是当今美国自愿社会最有力的决定因素。
https://img1.doubanio.com/view/subject/m/public/s29817169.jpg,朱元璋的政权及统治哲学,,[法]马骊/后浪丨吉林出版集团股份有限公司/2018-8,法国汉学家马骊作品。广泛论述了朱元璋政权建立及施政之方方面面，从政治哲学的高度，对其政权进行了甚有特色之剖析，提出了不同他人之评判。
https://img3.doubanio.com/view/subject/m/public/s29850025.jpg,圣徒与罪人,评价人数不足,[英]埃蒙·达菲/商务印书馆/2018-7,本书叙述了整个教皇与教廷的历史：从公元1世纪的彼得直到约翰·保罗二世（1978-2005年在位）时期。带领读者认识和了解这一人类历史中举足轻重的力量。
https://img3.doubanio.com/view/subject/m/public/s29792026.jpg,旅行手帐完全指南,7.4,[日]奥野宣之/九州出版社/2018-8-1,从家里出发，以观光者的角度到处走走，记录当下才有的心情，你就能一页一页地创作出属于自己的旅行手帐。
